2020-03-22	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race - BMW Hong Kong Derby
2020-03-18	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-03-14	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-03-11	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-03-08	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-03-04	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-03-01	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-02-26	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
2020-02-23	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-02-19	ST	Night	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Night Race
2020-02-16	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race - Citi Hong Kong Gold Cup, Queen's Silver Jubilee Cup
2020-02-12	HV	Night	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Night Race
